week_of_outbreak,state_ut,district,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp,Disease_Clean,date,Cases_lag1,Cases_lag2,Cases_lag4,Cases_MA_3w,Cases_SD_3w,Cases_WoW_change,Cases_EMA_3w,Weekly_Avg_Cases,Seasonality_Index,Cases_trend_4w,ALOS,Severity_Rate,Bed_Days,ICU_Required
17,Tamil Nadu,Ariyalur,6,0.0,26,4,2018,11.07603595,79.11745538,0.002088762807,5.0,314.408,Acute Diarrhoeal Disease,2018-04-23,,,,6.0,,,6.0,25.125,0.23880597014925373,,2.0,0.02,12.0,0.0
24,Tamil Nadu,Ariyalur,9,0.0,12,6,2018,11.07603595,79.11745538,0.08966642706,7.0,312.53000000000003,Acute Diarrhoeal Disease,2018-06-11,6.0,,,7.5,2.1213203435596424,0.5,7.5,30.666666666666668,0.2934782608695652,2.999999999999999,2.0,0.02,18.0,0.0
15,Tamil Nadu,Ariyalur,11,0.0,14,4,2019,11.07603595,79.11745538,0.01383985113,9.0,313.964,Acute Diarrhoeal Disease,2019-04-15,9.0,6.0,,8.666666666666666,2.5166114784235836,0.22222222222222232,9.25,15.285714285714286,0.719626168224299,2.499999999999999,2.0,0.02,22.0,0.0
12,Tamil Nadu,Ariyalur,14,0.0,24,3,2022,11.07603595,79.11745538,0.003166009915,8.0,308.436,Acute Diarrhoeal Disease,2022-03-21,11.0,9.0,,11.333333333333334,2.5166114784235836,0.2727272727272727,11.625,22.8,0.6140350877192983,2.6,2.0,0.02,28.0,0.0
17,Tamil Nadu,Ariyalur,17,0.0,28,4,2022,11.07603595,79.11745538,0.03080676776,8.0,310.16,Acute Diarrhoeal Disease,2022-04-25,14.0,11.0,6.0,14.0,3.0,0.2142857142857142,14.3125,25.125,0.6766169154228856,2.7,2.0,0.02,34.0,0.0
8,Tamil Nadu,Ariyalur,15,0.0,18,2,2019,11.07603595,79.11745538,0.01820628309,9.0,307.656,Chikungunya,2019-02-25,,,,15.0,,,15.0,37.5,0.4,,4.0,0.08,60.0,1.0
51,Tamil Nadu,Ariyalur,7,0.0,15,12,2011,11.07603595,79.11745538,0.09005000891,12.0,299.948,Dengue,2011-12-19,,,,7.0,,,7.0,15.4,0.45454545454545453,,5.0,0.1,35.0,1.0
4,Tamil Nadu,Ariyalur,12,0.0,27,1,2018,11.07603595,79.11745538,0.0003547658254,10.0,304.928,Dengue,2018-01-22,7.0,,,9.5,3.5355339059327378,0.7142857142857142,9.5,16.75,0.7164179104477612,4.999999999999997,5.0,0.1,60.0,1.0
40,Tamil Nadu,Ariyalur,17,0.0,6,10,2021,11.07603595,79.11745538,0.826018148,9.0,308.38,Dengue,2021-10-04,12.0,7.0,,12.0,5.0,0.41666666666666674,13.25,23.375,0.7272727272727273,4.999999999999999,5.0,0.1,85.0,2.0
10,Tamil Nadu,Ariyalur,6,0.0,5,2,2022,11.07603595,79.11745538,0.01250872941,10.0,303.384,Dengue,2022-03-07,17.0,12.0,,11.666666666666666,5.507570547286102,-0.6470588235294117,9.625,11.5,0.5217391304347826,0.20000000000000182,5.0,0.1,30.0,1.0
10,Tamil Nadu,Ariyalur,15,0.0,31,1,2022,11.07603595,79.11745538,0.08308958667,10.0,300.355,Pyrexia of unknown origin,2022-03-07,,,,15.0,,,15.0,15.0,1.0,,2.0,0.02,30.0,0.0
26,Tamil Nadu,Ariyalur (Perambalur),40,0.0,25,6,2009,11.1489062,79.0686377,0.09155758183,8.0,313.58,Chikungunya,2009-06-29,,,,40.0,,,40.0,35.75,1.118881118881119,,4.0,0.08,160.0,3.0
23,Tamil Nadu,Coimbatore,66,0.0,6,6,2011,11.0600516,77.0679581,1.029452637,7.0,308.40000000000003,Acute Diarrhoeal Disease,2011-06-06,,,,66.0,,,66.0,25.5,2.588235294117647,,2.0,0.02,132.0,1.0
45,Tamil Nadu,Coimbatore,20,0.0,23,8,2011,11.0600516,77.0679581,1.285018479,7.0,308.7,Acute Diarrhoeal Disease,2011-11-07,66.0,,,43.0,32.526911934581186,-0.696969696969697,43.0,24.5,0.8163265306122449,-46.0,2.0,0.02,40.0,0.0
25,Tamil Nadu,Coimbatore,44,0.0,16,6,2014,11.0600516,77.0679581,0.05156634007,9.0,310.7666666,Acute Diarrhoeal Disease,2014-06-23,20.0,66.0,,43.333333333333336,23.007245235649865,1.2000000000000002,43.5,28.916666666666668,1.521613832853026,-11.00000000000001,2.0,0.02,88.0,1.0
26,Tamil Nadu,Coimbatore,17,0.0,24,6,2014,11.0600516,77.0679581,0.09180670404,6.0,309.07,Acute Diarrhoeal Disease,2014-06-30,44.0,20.0,,27.0,14.798648586948744,-0.6136363636363636,30.25,32.857142857142854,0.5173913043478261,-12.299999999999999,2.0,0.02,34.0,0.0
